deviceId,x,y,z,recordTime
1,15,39,980,2024-08-16T07:59:00.322Z
1,17,40,981,2024-08-16T07:59:00.332Z
1,17,40,979,2024-08-16T07:59:00.342Z
1,18,39,981,2024-08-16T07:59:00.358Z
1,16,40,978,2024-08-16T07:59:00.364Z
1,17,40,982,2024-08-16T07:59:00.374Z
1,19,40,980,2024-08-16T07:59:00.384Z
1,18,40,979,2024-08-16T07:59:00.394Z
1,17,38,980,2024-08-16T07:59:00.404Z
1,17,39,978,2024-08-16T07:59:00.414Z
1,16,40,981,2024-08-16T07:59:00.424Z
1,18,37,978,2024-08-16T07:59:00.434Z
1,17,39,981,2024-08-16T07:59:00.444Z
1,16,39,979,2024-08-16T07:59:00.454Z
1,18,39,981,2024-08-16T07:59:00.464Z
1,17,39,979,2024-08-16T07:59:00.474Z
1,17,40,980,2024-08-16T07:59:00.484Z
1,17,40,978,2024-08-16T07:59:00.502Z
1,16,40,981,2024-08-16T07:59:00.507Z
1,16,40,980,2024-08-16T07:59:00.516Z
1,17,38,978,2024-08-16T07:59:00.526Z
1,16,39,978,2024-08-16T07:59:00.536Z
1,19,39,980,2024-08-16T07:59:00.546Z
1,18,39,979,2024-08-16T07:59:00.556Z
1,17,39,982,2024-08-16T07:59:00.566Z
1,17,39,976,2024-08-16T07:59:00.576Z
1,18,41,980,2024-08-16T07:59:00.585Z
1,19,40,980,2024-08-16T07:59:00.596Z
1,18,40,981,2024-08-16T07:59:00.606Z
1,16,39,978,2024-08-16T07:59:00.616Z
1,17,40,979,2024-08-16T07:59:00.626Z
1,16,39,981,2024-08-16T07:59:00.636Z
1,16,40,979,2024-08-16T07:59:00.651Z
1,16,40,982,2024-08-16T07:59:00.660Z
1,17,39,979,2024-08-16T07:59:00.671Z
1,15,39,977,2024-08-16T07:59:00.709Z
1,16,40,980,2024-08-16T07:59:00.718Z
1,17,39,981,2024-08-16T07:59:00.727Z
1,17,40,980,2024-08-16T07:59:00.737Z
1,16,39,979,2024-08-16T07:59:00.747Z
1,17,39,980,2024-08-16T07:59:00.757Z
1,17,38,981,2024-08-16T07:59:00.767Z
1,15,40,979,2024-08-16T07:59:00.777Z
1,17,39,980,2024-08-16T07:59:00.792Z
1,16,40,981,2024-08-16T07:59:00.799Z
1,16,40,980,2024-08-16T07:59:00.809Z
1,16,40,980,2024-08-16T07:59:00.819Z
1,17,39,979,2024-08-16T07:59:00.829Z
1,16,38,980,2024-08-16T07:59:00.839Z
1,16,39,979,2024-08-16T07:59:00.849Z
1,15,39,980,2024-08-16T07:59:00.859Z
1,17,39,978,2024-08-16T07:59:00.869Z
1,17,39,978,2024-08-16T07:59:00.879Z
1,16,40,980,2024-08-16T07:59:00.889Z
1,18,40,980,2024-08-16T07:59:00.899Z
1,18,39,980,2024-08-16T07:59:00.909Z
1,17,38,980,2024-08-16T07:59:00.919Z
1,17,40,981,2024-08-16T07:59:00.935Z
1,17,40,978,2024-08-16T07:59:00.942Z
1,16,40,980,2024-08-16T07:59:00.952Z
1,17,39,978,2024-08-16T07:59:00.962Z
1,17,39,981,2024-08-16T07:59:00.972Z
1,17,40,980,2024-08-16T07:59:00.982Z
1,18,38,979,2024-08-16T07:59:00.992Z
1,17,38,980,2024-08-16T07:59:01.002Z
1,18,40,981,2024-08-16T07:59:01.012Z
1,18,39,979,2024-08-16T07:59:01.022Z
1,19,38,981,2024-08-16T07:59:01.032Z
1,17,39,979,2024-08-16T07:59:01.042Z
1,18,38,979,2024-08-16T07:59:01.052Z
1,17,40,982,2024-08-16T07:59:01.062Z
1,17,40,978,2024-08-16T07:59:01.104Z
1,17,38,980,2024-08-16T07:59:01.113Z
1,16,40,980,2024-08-16T07:59:01.122Z
1,16,38,979,2024-08-16T07:59:01.132Z
1,18,39,981,2024-08-16T07:59:01.142Z
1,17,38,978,2024-08-16T07:59:01.154Z
1,16,39,980,2024-08-16T07:59:01.169Z
1,17,40,980,2024-08-16T07:59:01.173Z
1,18,38,978,2024-08-16T07:59:01.189Z
1,16,39,981,2024-08-16T07:59:01.192Z
1,18,40,980,2024-08-16T07:59:01.202Z
1,17,39,978,2024-08-16T07:59:01.212Z
1,17,41,979,2024-08-16T07:59:01.226Z
1,16,38,980,2024-08-16T07:59:01.236Z
1,16,40,979,2024-08-16T07:59:01.246Z
1,18,40,979,2024-08-16T07:59:01.255Z
1,16,41,979,2024-08-16T07:59:01.266Z
