deviceId,yaw,pitch,roll,recordTime
1,10,4,-3,2024-08-16T08:08:36.666Z
1,10,4,-3,2024-08-16T08:08:36.680Z
1,10,4,-4,2024-08-16T08:08:36.689Z
1,10,4,-4,2024-08-16T08:08:36.699Z
1,10,4,-5,2024-08-16T08:08:36.709Z
1,10,4,-5,2024-08-16T08:08:36.719Z
1,10,4,-5,2024-08-16T08:08:36.729Z
1,10,4,-5,2024-08-16T08:08:36.739Z
1,10,4,-5,2024-08-16T08:08:36.748Z
1,10,4,-5,2024-08-16T08:08:36.759Z
1,10,4,-4,2024-08-16T08:08:36.797Z
1,10,5,-4,2024-08-16T08:08:36.806Z
1,10,5,-4,2024-08-16T08:08:36.822Z
1,10,5,-4,2024-08-16T08:08:36.829Z
1,10,5,-5,2024-08-16T08:08:36.840Z
1,10,5,-5,2024-08-16T08:08:36.849Z
1,10,5,-5,2024-08-16T08:08:36.860Z
1,10,5,-5,2024-08-16T08:08:36.870Z
1,10,5,-5,2024-08-16T08:08:36.879Z
1,10,5,-5,2024-08-16T08:08:36.890Z
1,10,5,-5,2024-08-16T08:08:36.900Z
1,10,5,-5,2024-08-16T08:08:36.910Z
1,10,5,-5,2024-08-16T08:08:36.919Z
1,10,5,-5,2024-08-16T08:08:36.930Z
1,10,5,-5,2024-08-16T08:08:36.940Z
1,10,4,-5,2024-08-16T08:08:36.950Z
1,10,5,-4,2024-08-16T08:08:36.965Z
1,10,5,-4,2024-08-16T08:08:36.973Z
1,10,5,-5,2024-08-16T08:08:36.982Z
1,10,5,-5,2024-08-16T08:08:36.993Z
1,10,5,-5,2024-08-16T08:08:37.002Z
1,10,4,-5,2024-08-16T08:08:37.013Z
1,10,4,-5,2024-08-16T08:08:37.023Z
1,10,4,-5,2024-08-16T08:08:37.033Z
1,10,4,-5,2024-08-16T08:08:37.042Z
1,10,4,-5,2024-08-16T08:08:37.052Z
1,10,4,-5,2024-08-16T08:08:37.062Z
1,10,4,-5,2024-08-16T08:08:37.073Z
1,10,4,-5,2024-08-16T08:08:37.083Z
1,10,4,-4,2024-08-16T08:08:37.093Z
1,10,4,-4,2024-08-16T08:08:37.108Z
1,10,4,-4,2024-08-16T08:08:37.116Z
1,10,4,-5,2024-08-16T08:08:37.125Z
1,10,5,-5,2024-08-16T08:08:37.135Z
1,10,5,-5,2024-08-16T08:08:37.145Z
1,10,5,-5,2024-08-16T08:08:37.184Z
1,10,5,-5,2024-08-16T08:08:37.193Z
1,10,5,-5,2024-08-16T08:08:37.203Z
1,10,5,-5,2024-08-16T08:08:37.212Z
1,10,5,-5,2024-08-16T08:08:37.223Z
1,10,5,-5,2024-08-16T08:08:37.232Z
1,10,5,-5,2024-08-16T08:08:37.243Z
1,10,5,-5,2024-08-16T08:08:37.256Z
1,10,5,-5,2024-08-16T08:08:37.266Z
1,10,5,-5,2024-08-16T08:08:37.275Z
1,10,5,-5,2024-08-16T08:08:37.285Z
1,10,5,-5,2024-08-16T08:08:37.296Z
1,10,5,-5,2024-08-16T08:08:37.305Z
1,10,5,-5,2024-08-16T08:08:37.316Z
1,10,5,-5,2024-08-16T08:08:37.326Z
1,10,5,-5,2024-08-16T08:08:37.335Z
1,10,5,-5,2024-08-16T08:08:37.346Z
1,10,4,-5,2024-08-16T08:08:37.355Z
1,10,4,-5,2024-08-16T08:08:37.365Z
1,10,4,-5,2024-08-16T08:08:37.376Z
1,10,4,-5,2024-08-16T08:08:37.385Z
1,10,4,-5,2024-08-16T08:08:37.400Z
1,10,4,-5,2024-08-16T08:08:37.409Z
1,10,4,-5,2024-08-16T08:08:37.418Z
1,10,4,-5,2024-08-16T08:08:37.428Z
1,10,4,-5,2024-08-16T08:08:37.439Z
1,10,4,-4,2024-08-16T08:08:37.448Z
1,10,4,-5,2024-08-16T08:08:37.459Z
1,10,4,-5,2024-08-16T08:08:37.469Z
1,10,4,-5,2024-08-16T08:08:37.479Z
1,10,4,-5,2024-08-16T08:08:37.489Z
1,10,4,-5,2024-08-16T08:08:37.498Z
1,10,4,-4,2024-08-16T08:08:37.508Z
1,10,3,-4,2024-08-16T08:08:37.518Z
1,10,4,-4,2024-08-16T08:08:37.529Z
1,10,4,-5,2024-08-16T08:08:37.543Z
1,10,4,-5,2024-08-16T08:08:37.588Z
1,10,4,-5,2024-08-16T08:08:37.590Z
1,10,4,-5,2024-08-16T08:08:37.605Z
1,10,4,-5,2024-08-16T08:08:37.612Z
1,10,4,-5,2024-08-16T08:08:37.618Z
1,10,4,-6,2024-08-16T08:08:37.630Z
1,10,4,-6,2024-08-16T08:08:37.645Z
1,10,4,-5,2024-08-16T08:08:37.649Z
1,10,4,-5,2024-08-16T08:08:37.659Z
1,10,4,-5,2024-08-16T08:08:37.668Z
1,10,4,-4,2024-08-16T08:08:37.686Z
1,10,4,-5,2024-08-16T08:08:37.691Z
1,10,5,-5,2024-08-16T08:08:37.703Z
1,10,4,-5,2024-08-16T08:08:37.712Z
1,10,4,-5,2024-08-16T08:08:37.722Z
1,10,4,-5,2024-08-16T08:08:37.732Z
1,10,4,-5,2024-08-16T08:08:37.742Z
1,10,4,-5,2024-08-16T08:08:37.752Z
1,10,4,-5,2024-08-16T08:08:37.762Z
1,10,4,-5,2024-08-16T08:08:37.771Z
1,10,4,-5,2024-08-16T08:08:37.782Z
1,10,4,-5,2024-08-16T08:08:37.792Z
1,10,4,-6,2024-08-16T08:08:37.801Z
1,10,4,-6,2024-08-16T08:08:37.811Z
1,10,4,-6,2024-08-16T08:08:37.829Z
1,10,4,-6,2024-08-16T08:08:37.835Z
1,10,4,-5,2024-08-16T08:08:37.845Z
1,10,4,-5,2024-08-16T08:08:37.854Z
1,10,4,-5,2024-08-16T08:08:37.865Z
1,10,4,-4,2024-08-16T08:08:37.875Z
1,10,4,-4,2024-08-16T08:08:37.884Z
1,10,4,-4,2024-08-16T08:08:37.895Z
1,10,4,-5,2024-08-16T08:08:37.905Z
1,10,4,-5,2024-08-16T08:08:37.915Z
1,10,4,-5,2024-08-16T08:08:37.925Z
1,10,4,-5,2024-08-16T08:08:37.934Z
1,10,4,-6,2024-08-16T08:08:37.979Z
1,10,4,-5,2024-08-16T08:08:37.986Z
1,10,4,-6,2024-08-16T08:08:37.996Z
1,10,4,-6,2024-08-16T08:08:38.006Z
1,10,4,-6,2024-08-16T08:08:38.016Z
1,10,4,-5,2024-08-16T08:08:38.025Z
1,10,4,-6,2024-08-16T08:08:38.046Z
1,10,4,-5,2024-08-16T08:08:38.056Z
1,10,4,-5,2024-08-16T08:08:38.066Z
1,10,4,-5,2024-08-16T08:08:38.075Z
1,10,4,-5,2024-08-16T08:08:38.086Z
1,10,4,-5,2024-08-16T08:08:38.096Z
1,10,4,-5,2024-08-16T08:08:38.106Z
1,10,4,-6,2024-08-16T08:08:38.120Z
1,10,4,-6,2024-08-16T08:08:38.129Z
1,10,4,-6,2024-08-16T08:08:38.138Z
1,10,4,-5,2024-08-16T08:08:38.148Z
1,10,4,-5,2024-08-16T08:08:38.159Z
1,10,4,-5,2024-08-16T08:08:38.169Z
1,10,4,-6,2024-08-16T08:08:38.179Z
1,10,4,-5,2024-08-16T08:08:38.189Z
1,10,4,-5,2024-08-16T08:08:38.198Z
1,10,4,-5,2024-08-16T08:08:38.209Z
1,10,4,-5,2024-08-16T08:08:38.218Z
1,10,4,-5,2024-08-16T08:08:38.228Z
1,10,5,-5,2024-08-16T08:08:38.238Z
1,10,5,-5,2024-08-16T08:08:38.248Z
1,10,5,-5,2024-08-16T08:08:38.292Z
1,10,5,-5,2024-08-16T08:08:38.294Z
1,10,4,-5,2024-08-16T08:08:38.297Z
1,10,4,-5,2024-08-16T08:08:38.309Z
1,10,4,-5,2024-08-16T08:08:38.311Z
1,10,4,-6,2024-08-16T08:08:38.314Z
1,10,4,-6,2024-08-16T08:08:38.324Z
1,10,4,-6,2024-08-16T08:08:38.338Z
1,10,4,-7,2024-08-16T08:08:38.372Z
1,10,4,-6,2024-08-16T08:08:38.380Z
1,10,4,-6,2024-08-16T08:08:38.390Z
1,10,4,-6,2024-08-16T08:08:38.406Z
1,10,4,-5,2024-08-16T08:08:38.413Z
1,10,4,-5,2024-08-16T08:08:38.423Z
1,10,4,-5,2024-08-16T08:08:38.433Z
1,10,4,-5,2024-08-16T08:08:38.443Z
1,10,4,-5,2024-08-16T08:08:38.453Z
1,10,4,-5,2024-08-16T08:08:38.462Z
1,10,4,-5,2024-08-16T08:08:38.472Z
1,10,4,-5,2024-08-16T08:08:38.482Z
1,10,4,-5,2024-08-16T08:08:38.493Z
1,10,4,-6,2024-08-16T08:08:38.502Z
1,10,4,-5,2024-08-16T08:08:38.513Z
1,10,4,-6,2024-08-16T08:08:38.522Z
1,10,4,-5,2024-08-16T08:08:38.533Z
1,10,4,-5,2024-08-16T08:08:38.549Z
1,10,4,-5,2024-08-16T08:08:38.556Z
1,10,4,-5,2024-08-16T08:08:38.565Z
1,10,4,-5,2024-08-16T08:08:38.576Z
1,10,4,-5,2024-08-16T08:08:38.586Z
1,10,4,-5,2024-08-16T08:08:38.596Z
1,10,4,-5,2024-08-16T08:08:38.605Z
